year,quote,delta_percentage
1955,3.2851,
1956,3.5139,6.964780372
1957,3.6556,4.0325564188
1958,3.7908,3.6984352774
1959,3.8198,0.7650100243
1960,3.8604,1.0628828734
1961,4.0073,3.8053051497
1962,4.1527,3.6283782098
1963,4.2139,1.4737399764
1964,4.365,3.5857519163
1965,4.6246,5.9473081329
1966,4.8721,5.351814211
1967,5.0166,2.9658668747
1968,5.2281,4.2160028705
1969,5.5753,6.6410359404
1970,6.1121,9.6281814432
1971,6.6198,8.3064740433
1972,7.1204,7.5621619989
1973,7.7521,8.8716926015
1974,9.004,16.1491724823
1975,11.3573,26.1361617059
1976,13.1131,15.4596603066
1977,14.9428,13.9532223502
1978,16.7306,11.9642904944
1979,19.1791,14.6348606745
1980,23.097,20.4279658587
1981,26.0084,12.6051002295
1982,28.1647,8.2907829778
1983,29.8119,5.848455691
1984,31.4677,5.5541579034
1985,33.2795,5.7576499077
1986,34.9522,5.026217341
1987,36.9564,5.7341168796
1988,39.3146,6.3810327846
1989,42.5801,8.3060745881
1990,46.1895,8.4767297399
1991,49.4414,7.0403446671
1992,51.1818,3.5201268572
1993,52.8018,3.1651876253
1994,53.7439,1.7842194774
1995,55.2979,2.8914909413
1996,57.9617,4.8171811226
1997,58.0546,0.1602782527
1998,58.954,1.5492312409
1999,59.7963,1.4287410523
2000,60.5822,1.3142953661
2001,61.6818,1.815054587
2002,63.0507,2.2192932113
2003,64.6383,2.5179736307
2004,66.3543,2.6547727895
2005,68.3508,3.0088479571
2006,70.4072,3.008596827
2007,72.046,2.3276028588
2008,74.4625,3.3541070982
2009,75.8672,1.8864529125
2010,76.9534,1.4317122551
2011,78.5891,2.1255720995
2012,79.748,1.4746319782
2013,81.4781,2.1694587952
2014,82.5197,1.2783803255
2015,83.1088,0.7138901377
2016,84.6683,1.8764559228
2017,86.1858,1.792288259
2018,87.6836,1.7378732924
2019,89.537,2.1137362061
2020,95.0545,6.1622569441
2021,94.872,-0.1919951186
2022,100,5.4051775023
